"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-01",,"48","40",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-02",,"41","37","    1",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-03",,"43","39","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-04",,"52","34","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-05",,"34","27",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-06",,"33","25","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-07",,"26","20","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-08",,"25","16",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-09",,"23","14",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-10",,"46","21",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-11",,"52","42","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-12",,"66","47","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-13",,"62","32",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-14",,"34","28","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-15",,"38","30",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-16",,"43","30",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-17",,"42","38","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-18",,"41","38","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-19",,"49","39",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-20",,"45","40","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-21",,"49","41","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-22",,"48","43","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-23",,"44","36","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-24",,"38","35","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-25",,"51","36",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-26",,"56","43",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-27",,"43","36",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-28",,"39","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-29",,"43","35",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-30",,"37","30",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01-31",,"34","26","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-02-01",,"47","33",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-02-02",,"45","32",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-02-03",,"33","26",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-02-04",,"34","22",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-02-05",,"43","31",,,,,,
